season,week,day_start,day_end,label,category
S9,1,1,7,季前转会窗,转会窗
S9,2,1,7,季前转会窗,转会窗
S9,3,1,4,季前转会窗,转会窗
S9,16,1,7,中期转会窗,转会窗
S9,17,1,7,中期转会窗,转会窗
S9,18,1,4,中期转会窗,转会窗
S9,5,6,7,顶级联赛1,顶级联赛
S9,6,6,7,顶级联赛2,顶级联赛
S9,7,5,6,顶级联赛3,顶级联赛
S9,8,6,7,顶级联赛4,顶级联赛
S9,9,5,6,顶级联赛5,顶级联赛
S9,10,6,7,顶级联赛6,顶级联赛
S9,11,5,6,顶级联赛7,顶级联赛
S9,12,6,7,顶级联赛8,顶级联赛
S9,13,6,7,顶级联赛9,顶级联赛
S9,14,6,7,顶级联赛10,顶级联赛
S9,15,6,7,顶级联赛11,顶级联赛
S9,18,6,7,顶级联赛12,顶级联赛
S9,19,5,6,顶级联赛13,顶级联赛
S9,20,6,7,顶级联赛14,顶级联赛
S9,21,5,6,顶级联赛15,顶级联赛
S9,22,6,7,顶级联赛16,顶级联赛
S9,23,5,7,顶级联赛17,顶级联赛
S9,24,5,7,顶级联赛18,顶级联赛
S9,25,6,7,顶级联赛19,顶级联赛
S9,26,6,7,顶级联赛20,顶级联赛
S9,27,6,7,顶级联赛21,顶级联赛
S9,28,6,7,顶级联赛22,顶级联赛
S9,5,6,7,次级联赛1,次级联赛
S9,6,6,7,次级联赛2,次级联赛
S9,7,5,6,次级联赛3,次级联赛
S9,8,6,7,次级联赛4,次级联赛
S9,9,5,6,次级联赛5,次级联赛
S9,11,5,6,次级联赛6,次级联赛
S9,12,6,7,次级联赛7,次级联赛
S9,13,6,7,次级联赛8,次级联赛
S9,14,6,7,次级联赛9,次级联赛
S9,15,6,7,次级联赛10,次级联赛
S9,18,6,7,次级联赛11,次级联赛
S9,19,5,6,次级联赛12,次级联赛
S9,20,6,7,次级联赛13,次级联赛
S9,21,5,6,次级联赛14,次级联赛
S9,23,5,7,次级联赛15,次级联赛
S9,24,5,7,次级联赛16,次级联赛
S9,25,6,7,次级联赛17,次级联赛
S9,26,6,7,次级联赛18,次级联赛
S9,27,6,7,次级联赛19,次级联赛
S9,28,6,7,次级联赛20,次级联赛
S9,30,2,3,次级附加赛首回合,次级联赛
S9,30,6,7,次级附加赛次回合,次级联赛
S9,8,2,3,冠军杯小组赛1,冠军杯
S9,10,2,3,冠军杯小组赛2,冠军杯
S9,12,2,3,冠军杯小组赛3,冠军杯
S9,20,2,3,冠军杯1/4赛首回合,冠军杯
S9,22,2,3,冠军杯1/4赛次回合,冠军杯
S9,24,2,3,冠军杯半决赛首回合,冠军杯
S9,25,2,3,冠军杯半决赛次回合,冠军杯
S9,31,6,6,冠军杯决赛,冠军杯
S9,3,6,6,超级杯,超级杯
